"Source:","C:\Users\BrianG\Documents\PCB\Beacon\beacon_pll\beacon_pll.sch"
"Date:","8/25/2018 11:21:02 AM"
"Tool:","Eeschema (5.0.0-rc2-dev-311-g1dd4af297)"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","52"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10u","CP","Capacitors_SMD:C_1206_HandSoldering","Polarised capacitor",""
"C2, ","1","50u","CP","Capacitors_Tantalum_SMD:CP_Tantalum_Case-R_EIA-2012-12_Hand","Polarised capacitor",""
"C8, C7, ","2","10n","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor",""
"C9, ","1","27n","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor",""
"C11, ","1","10u","CP","Capacitors_SMD:C_0805_HandSoldering","Polarised capacitor",""
"C12, C14, C16, C4, C3, ","5","0.1u","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor",""
"C13, C15, C18, ","3","10p","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor",""
"C19, C20, ","2","100p","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor",""
"C21, ","1","560p","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor",""
"C22, ","1","8.2n","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor",""
"C23, ","1","1u","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor",""
"C24, ","1","1n","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor",""
"C25, ","1","150p","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor",""
"C27, C17, C26, ","3","270p","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor",""
"D1, ","1","BYS10-45-E3/TR","D_Schottky","Diodes_SMD:D_SMA_Handsoldering","Schottky diode",""
"D3, ","1","LED","LED","LEDs:LED_0805_HandSoldering","LED generic",""
"J1, ","1","OUTPUT CONNECTOR","Conn_01x12","Pin_Headers:Pin_Header_Straight_2x06_Pitch2.54mm","Generic connector, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, ","1","SMA OUT","Conn_Coaxial","Connectors_Amphenol:Amphenol_RF_SMA_132289","coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, ...)",""
"L1, ","1","MH2029-300Y","Ferrite_Bead","Inductors_SMD:L_0805_HandSoldering","Ferrite bead",""
"L2, L4, ","2","55.0n","L","Inductors_SMD:L_0805_HandSoldering","Inductor",""
"L3, L5, ","2","53n","L","Inductors_SMD:L_0805_HandSoldering","Inductor",""
"L6, ","1","72n","L","Inductors_SMD:L_0805_HandSoldering","Inductor",""
"R1, ","1","50k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R4, ","1","2.2k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R8, ","1","10k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R9, R7, ","2","0","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R10, ","1","4.7k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R11, ","1","1.3k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R13, R14, ","2","470","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R16, R15, ","2","50","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R17, ","1","13k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"R18, ","1","27k","R","Resistors_SMD:R_0805_HandSoldering","Resistor",""
"U1, ","1","LM1117-3.3","LM1117-3.3","TO_SOT_Packages_SMD:SOT-223","800mA Low-Dropout Linear Regulator, 1.8V fixed output, TO-220/TO-252/TO-263/SOT-223",""
"U2, ","1","TXB0104D","TXB0104D","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm","4-Bit Bidirectional Voltage-Level Translator, Auto Direction Sensing and Â±15-kV ESD Protection, 1.2 - 3.6 V APort, 1.65 - 5.5 V BPort, SOIC-14",""
"U3, ","1","ADF4360-8","ADF4360-8","Housings_CSP:ADF4360-8BCPZRL7","",""
"U4, ","1","QPA4463ASR","QPA4463ASR","TO_SOT_Packages_SMD:SOT-363_SC-70-6_Handsoldering","",""
"X1, ","1","ASEMB-10.000MHz","ASE-xxxMHz","Oscillators:Oscillator_SMD_Abracon_ASE-4pin_3.2x2.5mm","3.3V CMOS SMD Crystal Clock Oscillator, Abracon",""
